url,genre,language,bot_country,availabilityStarts,availabilityEnds,bot_system,offer_type
\/shows\/impractical-jokers\/season-8\/episode-27\/rock-bottom,WatchAction,en,US,2020-02-28T11:30:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-7\/episode-14\/the-needy-and-the-greedy,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/laff-mobbs-laff-tracks\/season-1\/episode-5\/nostalgia-trip,WatchAction,en,US,2019-09-16T11:00:00+00:00,2020-04-27T11:00:59+00:00,TBS,TVE
\/shows\/hack-my-life-inside-hacks\/season-1\/episode-15\/cookin-up-some-hacks,WatchAction,en,US,2020-04-06T11:01:00+00:00,2020-05-01T07:59:06+00:00,TBS,TVE
\/shows\/laff-mobbs-laff-tracks\/season-1\/episode-17\/up-all-night,WatchAction,en,US,2019-09-16T11:00:00+00:00,2020-04-27T11:00:59+00:00,TBS,TVE
\/shows\/adam-ruins-everything\/season-1\/episode-8\/adam-ruins-work,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/adam-ruins-everything\/season-2\/episode-6\/adam-ruins-what-we-learned-in-school,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/talk-show-the-game-show\/season-1\/episode-24\/cynthia-bailey-cole-escola-andy-kindler,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/almost-genius\/season-1\/episode-22\/spectacular-defeat,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/almost-genius\/season-1\/episode-15\/falling-short,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/hack-my-life-inside-hacks\/season-1\/episode-12\/hacking-the-brain,WatchAction,en,US,2020-04-06T11:01:00+00:00,2020-05-01T07:59:06+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-2\/episode-2\/the-stoop-sessions-part-2,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/hack-my-life\/season-3\/episode-22\/mother-hacker,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-5\/episode-19\/heckle-and-hide,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/those-who-cant\/season-2\/episode-8\/a-new-dog-in-the-yard,WatchAction,en,US,2019-07-29T11:00:00+00:00,2020-10-05T11:00:59+00:00,TBS,TVE
\/shows\/those-who-cant\/season-2\/episode-2\/foreskin-in-the-game,WatchAction,en,US,2019-07-29T11:00:00+00:00,2020-10-05T11:00:59+00:00,TBS,TVE
\/shows\/hack-my-life\/season-4\/episode-8\/hacks-by-the-poolside,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/talk-show-the-game-show\/season-1\/episode-32\/jill-kargman-judah-friedlander-joel-kim-booster,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/greatest-ever\/season-1\/episode-10\/greatest-performers-ever,WatchAction,en,US,2020-03-09T11:01:00+00:00,2020-12-24T09:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-6\/episode-10\/the-butt-of-the-joker,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/talk-show-the-game-show\/season-1\/episode-3\/times-a-waistin,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/you-can-do-better\/season-1\/episode-17\/lets-fall-in-love,WatchAction,en,US,2019-03-11T11:00:00+00:00,2020-06-15T11:00:59+00:00,TBS,TVE
\/shows\/hack-my-life\/season-4\/episode-3\/hacked-by-a-rose,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
