maturity_rating,episodes_title,url,viewable_runtime,is_movie,provider_original,series_source_id,source_id,original_language,bot_country,provider_release_date,provider_cease_date,bot_system,offer_type,episode_url,series_title,series_url,episode_number,season_number
TV-14,Adam Ruins Death,\/shows\/adam-ruins-everything\/season-1\/episode-12\/adam-ruins-death,1262.7948,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2065346,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-12\/adam-ruins-death,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,12,1
TV-14,Adam Ruins Hollywood,\/shows\/adam-ruins-everything\/season-1\/episode-13\/adam-ruins-hollywood,1262.8282,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2084663,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-13\/adam-ruins-hollywood,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,13,1
TV-PG,Adam Ruins Football,\/shows\/adam-ruins-everything\/season-1\/episode-14\/adam-ruins-football,1262.8282,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2084661,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-14\/adam-ruins-football,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,14,1
TV-14,Adam Ruins Weddings,\/shows\/adam-ruins-everything\/season-1\/episode-15\/adam-ruins-weddings,1262.8282,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2084662,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-15\/adam-ruins-weddings,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,15,1
TV-14,Adam Ruins Shopping Malls,\/shows\/adam-ruins-everything\/season-1\/episode-16\/adam-ruins-shopping-malls,1262.8616,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2084664,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-16\/adam-ruins-shopping-malls,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,16,1
TV-14,Adam Ruins Animals,\/shows\/adam-ruins-everything\/season-1\/episode-17\/adam-ruins-animals,1262.8617,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2084665,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-17\/adam-ruins-animals,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,17,1
TV-14,Adam Ruins Immigration,\/shows\/adam-ruins-everything\/season-1\/episode-18\/adam-ruins-immigration,1262.8282,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2084666,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-18\/adam-ruins-immigration,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,18,1
TV-14,Adam Ruins Housing,\/shows\/adam-ruins-everything\/season-1\/episode-19\/adam-ruins-housing,1472.8381,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2084667,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-19\/adam-ruins-housing,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,19,1
TV-14,Adam Ruins Drugs,\/shows\/adam-ruins-everything\/season-1\/episode-20\/adam-ruins-drugs,1472.838,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2084668,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-20\/adam-ruins-drugs,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,20,1
TV-14,Adam Ruins Prison,\/shows\/adam-ruins-everything\/season-1\/episode-21\/adam-ruins-prison,1472.838,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2084669,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-21\/adam-ruins-prison,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,21,1
TV-14,Adam Ruins the Wild West,\/shows\/adam-ruins-everything\/season-1\/episode-22\/adam-ruins-the-wild-west,1472.838,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2084671,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-22\/adam-ruins-the-wild-west,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,22,1
TV-14,Adam Ruins Justice,\/shows\/adam-ruins-everything\/season-1\/episode-24\/adam-ruins-justice,1472.838,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2084672,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-24\/adam-ruins-justice,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,24,1
TV-14,Adam Ruins Christmas,\/shows\/adam-ruins-everything\/season-1\/episode-25\/adam-ruins-christmas,1472.8381,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2084673,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-25\/adam-ruins-christmas,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,25,1
TV-14,Adam Ruins Going Green,\/shows\/adam-ruins-everything\/season-1\/episode-26\/adam-ruins-going-green,1472.838,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2084674,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-26\/adam-ruins-going-green,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,26,1
TV-14,Adam Ruins Having a Baby,\/shows\/adam-ruins-everything\/season-2\/episode-1\/adam-ruins-having-a-baby,1472.838,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2124079,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-2\/episode-1\/adam-ruins-having-a-baby,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,1,2
TV-PG,Adam Ruins Weight Loss,\/shows\/adam-ruins-everything\/season-2\/episode-2\/adam-ruins-weight-loss,1472.838,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2124080,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-2\/episode-2\/adam-ruins-weight-loss,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,2,2
TV-PG,Adam Ruins the Hospital,\/shows\/adam-ruins-everything\/season-2\/episode-3\/adam-ruins-the-hospital,1472.838,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2124081,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-2\/episode-3\/adam-ruins-the-hospital,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,3,2
TV-14,Adam Ruins Dating,\/node\/37,1472.838,episode,,2059996,2124082,,,,,,,,,,,
TV-PG,Adam Ruins Art,\/shows\/adam-ruins-everything\/season-2\/episode-5\/adam-ruins-art,1472.838,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2124083,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-2\/episode-5\/adam-ruins-art,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,5,2
