maturity_rating,program_title,url,viewable_runtime,is_movie,source_id,original_language,bot_country,provider_release_date,provider_cease_date,bot_system,offer_type,program_url
PG-13,Dumb & Dumber,\/movies\/dumb-dumber-theatrical,6393.4203,movie,2193770,en,US,2020-04-01T08:00:00+00:00,2020-05-16T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/dumb-dumber-theatrical
PG-13,Hellboy II: The Golden Army [Uncut],\/movies\/hellboy-ii-the-golden-army-uncut,7179.2722,movie,2197147,en,US,2020-03-02T10:00:00+00:00,2020-06-16T07:59:56+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/hellboy-ii-the-golden-army-uncut
PG-13,I Now Pronounce You Chuck & Larry [Uncut],\/movies\/i-now-pronounce-you-chuck-larry-uncut,6925.4852,movie,2197569,en,US,2020-04-01T08:00:00+00:00,2020-07-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/i-now-pronounce-you-chuck-larry-uncut
PG-13,Walking Tall [Uncut],\/movies\/walking-tall-uncut,5186.0142,movie,2198300,en,US,2020-03-01T10:00:00+00:00,2020-05-13T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/walking-tall-uncut
TV-MA,Shooter [Uncut],\/movies\/shooter-uncut,7551.2772,movie,2157049,en,US,2020-04-01T08:00:00+00:00,2020-05-16T07:59:00+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/shooter-uncut
R,Instinct,\/movies\/instinct,6753.4466,movie,436239,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/instinct
PG-13,The Break-Up [Uncut],\/movies\/the-break-up-theatrical,6393.2203,movie,2197145,en,US,2020-04-04T08:00:00+00:00,2020-05-01T07:59:43+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/the-break-up-theatrical
PG,Kung Fu Panda [Uncut],\/movies\/kung-fu-panda-uncut,5519.147,movie,2216697,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/kung-fu-panda-uncut
PG-13,Taken 2 [Uncut],\/movies\/taken-2-theatrical,5532.4937,movie,2165450,en,US,2020-04-01T08:00:00+00:00,2020-05-03T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/taken-2-theatrical
PG,Evan Almighty [Uncut],\/movies\/evan-almighty-theatrical,5737.0314,movie,2197165,en,US,2020-04-01T08:00:00+00:00,2020-07-06T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/evan-almighty-theatrical
