url,genre,language,bot_country,availabilityStarts,availabilityEnds,bot_system,offer_type
\/movies\/were-the-millers,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/flight-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/into-the-storm,WatchAction,en,US,2020-04-14T08:00:00+00:00,2020-04-30T07:59:59+00:00,TBS,TVE
\/movies\/the-lost-world-jurassic-park-uncut,WatchAction,en,US,2020-02-16T10:00:00+00:00,2020-04-24T07:59:59+00:00,TBS,TVE
\/movies\/the-break-up-theatrical,WatchAction,en,US,2020-04-04T08:00:00+00:00,2020-05-01T07:59:43+00:00,TBS,TVE
\/movies\/the-dark-knight-rises-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/sex-and-the-city-2,WatchAction,en,US,2020-03-02T10:00:00+00:00,2020-05-31T07:59:32+00:00,TBS,TVE
\/movies\/angels-in-the-infield,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/geostorm-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/focus-uncut,WatchAction,en,US,2020-04-10T08:00:00+00:00,2020-05-11T07:59:59+00:00,TBS,TVE
\/movies\/it,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/non-stop-uncut,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-06-16T07:59:59+00:00,TBS,TVE
\/movies\/keanu-theatrical,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/one-for-the-money-theatrical,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/angels-in-the-outfield,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/race-to-witch-mountain,WatchAction,en,US,2020-04-09T08:00:00+00:00,2020-05-10T07:59:45+00:00,TBS,TVE
\/movies\/how-to-train-your-dragon-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-16T07:59:59+00:00,TBS,TVE
\/movies\/ransom,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/angels-in-the-endzone,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/movies\/a-good-day-to-die-hard-uncut,WatchAction,en,US,2020-03-29T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
