maturity_rating,program_title,url,viewable_runtime,is_movie,source_id,original_language,bot_country,provider_release_date,provider_cease_date,bot_system,offer_type,program_url
PG,Confessions of a Shopaholic,\/movies\/confessions-of-a-shopaholic,5352.3137,movie,684114,en,US,2020-04-23T08:00:00+00:00,2020-05-23T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/confessions-of-a-shopaholic
PG,Star Wars: The Phantom Menace,\/movies\/star-wars-the-phantom-menace,7865.5577,movie,443967,en,US,2020-05-04T08:00:00+00:00,2020-06-03T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/star-wars-the-phantom-menace
PG-13,The Imitation Game,\/movies\/the-imitation-game-uncut,6832.7259,movie,2166096,en,US,2019-11-14T22:30:00+00:00,2020-10-29T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/the-imitation-game-uncut
R,Collateral,\/movies\/collateral-uncut,7204.8977,movie,2187622,en,US,2020-03-10T08:00:00+00:00,2020-05-10T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/collateral-uncut
PG-13,The Terminal,\/movies\/the-terminal-uncut,7735.194,movie,2187627,en,US,2020-05-01T08:00:00+00:00,2020-06-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/the-terminal-uncut
R,Focus,\/movies\/focus-theatrical,6290.7178,movie,2160765,en,US,2020-04-10T08:00:00+00:00,2020-05-11T07:59:37+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/focus-theatrical
R,Popstar: Never Stop Never Stopping,\/movies\/popstar-never-stop-never-stopping-theatrical,5198.3265,movie,2181305,en,US,2020-05-01T08:00:00+00:00,2020-06-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/popstar-never-stop-never-stopping-theatrical
PG-13,Star Wars: Revenge of the Sith,\/movies\/star-wars-revenge-of-the-sith,8103.2618,movie,533702,en,US,2020-05-04T08:00:00+00:00,2020-06-03T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/star-wars-revenge-of-the-sith
PG,The Lego Batman Movie,\/movies\/the-lego-batman-movie-theatrical,6270.0638,movie,2166095,en,US,2020-05-01T08:00:00+00:00,2020-05-31T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/the-lego-batman-movie-theatrical
PG-13,The Hobbit: The Battle of the Five Armies,\/movies\/the-hobbit-the-battle-of-the-five-armies,7865.5243,movie,974119,en,US,2020-05-02T08:00:00+00:00,2020-06-01T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/the-hobbit-the-battle-of-the-five-armies
R,American Reunion,\/movies\/american-reunion-theatrical,6772.2655,movie,2178663,en,US,2020-05-01T08:00:00+00:00,2020-06-02T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/american-reunion-theatrical
PG-13,Allegiant,\/movies\/allegiant-theatrical,7237.33,movie,2189477,en,US,2020-05-01T08:00:00+00:00,2020-06-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/allegiant-theatrical
