bot_system,bot_version,bot_country,capture_date,is_movie,offer_type,series_title,season_number,episode_number,program_title,provider_release_date,provider_cease_date,viewable_runtime,maturity_rating,original_language,series_url,program_url,series_source_id,source_id,provider_original
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Fist Fight,05/01/2020,06/01/2020,5472,R,en,,http://www.tbs.com/movies/fist-fight-theatrical,,2166094,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Rogue One: A Star Wars Story,05/04/2020,06/03/2020,8055,PG-13,en,,http://www.tbs.com/movies/rogue-one-a-star-wars-story-theatrical,,2167033,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,The Campaign,05/01/2020,06/13/2020,4590,R,en,,http://www.tbs.com/movies/the-campaign,,869313,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Meet the Parents,04/01/2020,06/01/2020,6466,PG-13,en,,http://www.tbs.com/movies/meet-the-parents-uncut,,2197277,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Race to Witch Mountain,04/09/2020,05/10/2020,5166,PG,en,,http://www.tbs.com/movies/race-to-witch-mountain,,736305,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Shrek the Third,05/01/2020,07/01/2020,5571,PG,en,,http://www.tbs.com/movies/shrek-the-third-theatrical,,2187625,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Life As We Know It,05/06/2020,06/05/2020,6127,PG-13,en,,http://www.tbs.com/movies/life-as-we-know-it,,778489,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,The Wedding Ringer,04/12/2020,04/12/2021,6113,R,en,,http://www.tbs.com/movies/the-wedding-ringer-theatrical,,2192448,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Where's the Money,03/22/2020,06/22/2020,5143,R,en,,http://www.tbs.com/movies/wheres-the-money-uncut,,2192330,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,The Dukes of Hazzard,04/25/2020,05/21/2020,6247,PG-13,en,,http://www.tbs.com/movies/the-dukes-of-hazzard-uncut,,2198245,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Stronger,03/15/2020,05/16/2020,7142,R,en,,http://www.tbs.com/movies/stronger-uncut,,2192496,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,The Lego Movie,05/01/2020,05/31/2020,5164,PG,en,,http://www.tbs.com/movies/the-lego-movie,,896652,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Collateral,03/10/2020,05/10/2020,7204,R,en,,http://www.tbs.com/movies/collateral-uncut,,2187622,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Kicking & Screaming,05/01/2020,06/01/2020,5689,PG,en,,http://www.tbs.com/movies/kicking-screaming-theatrical,,2197306,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Last Holiday,05/01/2020,07/01/2020,6702,PG-13,en,,http://www.tbs.com/movies/last-holiday-uncut,,2214615,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Guardians of the Galaxy Vol. 2,05/01/2020,06/04/2020,7262,PG-13,en,,http://www.tbs.com/movies/guardians-of-the-galaxy-vol-2,,2041864,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,The Hobbit: The Battle of the Five Armies,05/02/2020,06/01/2020,7865,PG-13,en,,http://www.tbs.com/movies/the-hobbit-the-battle-of-the-five-armies,,974119,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Evan Almighty,04/01/2020,07/06/2020,5737,PG,en,,http://www.tbs.com/movies/evan-almighty-theatrical,,2197165,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,The Legend of Tarzan,05/01/2020,05/31/2020,6607,PG-13,en,,http://www.tbs.com/movies/the-legend-of-tarzan-theatrical,,2162438,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Star Wars: The Last Jedi,05/04/2020,06/03/2020,9106,PG-13,en,,http://www.tbs.com/movies/star-wars-the-last-jedi-theatrical,,2196916,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Hellboy II: The Golden Army,03/02/2020,06/16/2020,7179,PG-13,en,,http://www.tbs.com/movies/hellboy-ii-the-golden-army-uncut,,2197147,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Prometheus,05/01/2020,06/17/2020,7431,R,en,,http://www.tbs.com/movies/prometheus-theatrical,,2165449,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,2 Guns,05/01/2020,06/01/2020,6557,R,en,,http://www.tbs.com/movies/2-guns-uncut,,2186635,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Riddick,04/01/2020,06/30/2020,7126,R,en,,http://www.tbs.com/movies/riddick-uncut,,2186636,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Shut In,12/31/2019,01/01/2021,5458,PG-13,en,,http://www.tbs.com/movies/shut-in-theatrical,,2170131,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Allegiant,05/01/2020,06/01/2020,7237,PG-13,en,,http://www.tbs.com/movies/allegiant-theatrical,,2189477,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Non-Stop,04/17/2020,06/16/2020,6400,PG-13,en,,http://www.tbs.com/movies/non-stop-uncut,,2189790,
