maturity_rating,episodes_title,url,viewable_runtime,is_movie,provider_original,series_source_id,source_id,original_language,bot_country,provider_release_date,provider_cease_date,bot_system,offer_type,episode_url,series_title,series_url,episode_number,season_number
TV-14,First Date,\/shows\/miracle-workers-dark-ages\/season-2\/episode-8\/first-date,1217.3495,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2019\/11\/MiracleWorkers-SmallerLogo%2BTBSOriginal-900x360.png,100025,2197288,en,US,2020-03-18T06:30:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/miracle-workers-dark-ages\/season-2\/episode-8\/first-date,Miracle Workers: Dark Ages,http:\/\/www.tbs.com\/shows\/miracle-workers-dark-ages,8,2
TV-14,Moving Out Part 1,\/shows\/miracle-workers-dark-ages\/season-2\/episode-9\/moving-out-part-1,1162.3946,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2019\/11\/MiracleWorkers-SmallerLogo%2BTBSOriginal-900x360.png,100025,2197289,en,US,2020-03-25T06:30:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/miracle-workers-dark-ages\/season-2\/episode-9\/moving-out-part-1,Miracle Workers: Dark Ages,http:\/\/www.tbs.com\/shows\/miracle-workers-dark-ages,9,2
TV-MA,Moving Out Part 2,\/shows\/miracle-workers-dark-ages\/season-2\/episode-10\/moving-out-part-2,1232.4979,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2019\/11\/MiracleWorkers-SmallerLogo%2BTBSOriginal-900x360.png,100025,2197290,en,US,2020-04-01T06:30:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/miracle-workers-dark-ages\/season-2\/episode-10\/moving-out-part-2,Miracle Workers: Dark Ages,http:\/\/www.tbs.com\/shows\/miracle-workers-dark-ages,10,2
TV-MA,"January 29, 2020",\/shows\/full-frontal-with-samantha-bee\/season-4\/episode-34\/january-29-2020,1297.7965,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2018\/08\/Full-Frontal_900x360_TBS-Original-Logo-Sep.png,2061452,2181602,en,US,2020-04-03T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,FREE,http:\/\/www.tbs.com\/shows\/full-frontal-with-samantha-bee\/season-4\/episode-34\/january-29-2020,Full Frontal with Samantha Bee,http:\/\/www.tbs.com\/shows\/full-frontal-with-samantha-bee,34,4
TV-MA,"February 5, 2020",\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-1\/february-5-2020,1267.2326,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2018\/08\/Full-Frontal_900x360_TBS-Original-Logo-Sep.png,2061452,2181603,en,US,2020-02-06T15:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,FREE,http:\/\/www.tbs.com\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-1\/february-5-2020,Full Frontal with Samantha Bee,http:\/\/www.tbs.com\/shows\/full-frontal-with-samantha-bee,1,5
TV-MA,"February 12, 2020",\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-2\/february-12-2020,1267.4662,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2018\/08\/Full-Frontal_900x360_TBS-Original-Logo-Sep.png,2061452,2197183,en,US,2020-02-13T15:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,FREE,http:\/\/www.tbs.com\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-2\/february-12-2020,Full Frontal with Samantha Bee,http:\/\/www.tbs.com\/shows\/full-frontal-with-samantha-bee,2,5
TV-MA,"March 4, 2020",\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-3\/march-4-2020,1267.4329,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2018\/08\/Full-Frontal_900x360_TBS-Original-Logo-Sep.png,2061452,2197184,en,US,2020-03-05T15:00:00+00:00,2020-05-06T07:59:59+00:00,TBS,FREE,http:\/\/www.tbs.com\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-3\/march-4-2020,Full Frontal with Samantha Bee,http:\/\/www.tbs.com\/shows\/full-frontal-with-samantha-bee,3,5
TV-MA,"March 11, 2020",\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-4\/march-11-2020,1267.5663,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2018\/08\/Full-Frontal_900x360_TBS-Original-Logo-Sep.png,2061452,2197185,en,US,2020-03-12T13:00:00+00:00,2020-05-13T07:59:59+00:00,TBS,FREE,http:\/\/www.tbs.com\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-4\/march-11-2020,Full Frontal with Samantha Bee,http:\/\/www.tbs.com\/shows\/full-frontal-with-samantha-bee,4,5
TV-MA,"March 25, 2020",\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-5\/march-25-2020,1235.8012,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2018\/08\/Full-Frontal_900x360_TBS-Original-Logo-Sep.png,2061452,2197186,en,US,2020-03-26T13:00:00+00:00,2020-05-27T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-5\/march-25-2020,Full Frontal with Samantha Bee,http:\/\/www.tbs.com\/shows\/full-frontal-with-samantha-bee,5,5
TV-MA,"April 1, 2020",\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-6\/april-1-2020,1267.1325,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2018\/08\/Full-Frontal_900x360_TBS-Original-Logo-Sep.png,2061452,2197187,en,US,2020-04-02T13:00:00+00:00,2020-06-03T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-6\/april-1-2020,Full Frontal with Samantha Bee,http:\/\/www.tbs.com\/shows\/full-frontal-with-samantha-bee,6,5
TV-MA,"April 8, 2020",\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-7\/april-8-2020,1286.5852,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2018\/08\/Full-Frontal_900x360_TBS-Original-Logo-Sep.png,2061452,2197188,en,US,2020-04-09T13:00:00+00:00,2020-06-10T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-7\/april-8-2020,Full Frontal with Samantha Bee,http:\/\/www.tbs.com\/shows\/full-frontal-with-samantha-bee,7,5
